date,portfolio_value,daily_return,realized_vol,expected_vol,drawdown,regime_score,turnover
2023-11-13,205958.8886973426,0.0004186327284023683,0.20827893781943974,0.16915952520627145,-0.08837943895666718,0.9877059984974466,0.0
2023-11-14,206108.89844451076,0.0007283480121540453,0.2064446285170687,0.16897382084289428,-0.08771546193319252,0.9953132954769233,0.0
2023-11-15,205972.02964386332,-0.0006640606091263823,0.2054383351168848,0.16434203189407826,-0.08832127415923778,1.0,0.0
2023-11-16,206032.38246154695,0.00029301462818986934,0.19695634953232283,0.163830605841753,-0.08805413895635686,1.0,0.0
2023-11-17,206094.38854670807,0.00030095310465427794,0.19659248094211978,0.1580945100502906,-0.08777968601819916,1.0,0.0
2023-11-20,206300.012659661,0.000997718154302607,0.196177397831796,0.1580430783492317,-0.08686954725021594,1.0,0.0
2023-11-21,206192.03126508632,-0.0005234192338747778,0.1949515782193844,0.15064662540607743,-0.08734749729222199,1.0,0.0
2023-11-22,206140.25865909236,-0.0002510892670114506,0.18480336056035027,0.14889709750299338,-0.0875766545401631,1.0,0.0
2023-11-24,205986.58332571771,-0.0007454891847632483,0.15209024084649506,0.14631384646787293,-0.08825685627612888,1.0,0.0
2023-11-27,206076.22402331253,0.00043517736032883114,0.11504365091762526,0.14292633862470513,-0.0878600863015453,1.0,0.0
2023-11-28,206132.5168585982,0.00027316511427977197,0.11126659296209,0.13903878190637414,-0.0876109214977808,1.0,0.0
2023-11-29,205989.98945672697,-0.0006914358008299759,0.10187772783740087,0.13841751002420857,-0.0882417799709435,1.0,0.0
2023-11-30,205642.81736863055,-0.001685383299509069,0.062479322372335395,0.13602098899703666,-0.08977844204817058,1.0,0.0
2023-12-01,205695.08763041854,0.00025417985639775154,0.03375764665758251,0.13385470054566834,-0.08954708206328026,1.0,1.471696883344782
2023-12-04,204928.52549270456,-0.003726691514827518,0.01685953194655621,0.13237078779357425,-0.09294005922720495,1.0,0.0
2023-12-05,206408.56852539076,0.0072222401890014165,0.029972179694996045,0.1339094042123244,-0.0863890544691225,1.0,0.0
2023-12-06,206537.15566607926,0.00062297385039356,0.029993046508817053,0.13391759820851498,-0.08581989874062337,1.0,0.0
2023-12-07,208746.77803214968,0.010698425467051909,0.04626851783726035,0.13644722268936985,-0.07603961106383805,1.0,0.0
2023-12-08,211055.31462963388,0.011059028643443991,0.057705352706463243,0.13868109765005865,-0.06582150665718534,1.0,0.0
2023-12-11,211678.42481280546,0.002952354856664119,0.05793195205253174,0.13876246465425673,-0.06306348024537348,1.0,0.0
2023-12-12,215375.56042136825,0.01746581217161025,0.07941225733867545,0.1438400558259109,-0.04669912297461694,1.0,0.0
2023-12-13,217606.41176909453,0.01035795957239416,0.08378006614005251,0.14526384942899562,-0.03682487103006009,1.0,0.0
2023-12-14,215474.64462775338,-0.009796435334833764,0.09363296089931454,0.14703564636884797,-0.04626055389713428,1.0,0.0
2023-12-15,215751.33629896096,0.00128410315601446,0.09316438618834405,0.1470158666965196,-0.045035854064378184,1.0,0.0
2023-12-18,217705.71913822665,0.009058497030848267,0.0956584777289938,0.14802712318672742,-0.03638531418385379,1.0,0.0
2023-12-19,217665.13541797627,-0.00018641549891762477,0.09581590031768512,0.1479480621206135,-0.03656494689627456,1.0,0.0
2023-12-20,217638.0639606663,-0.0001243720417510863,0.09611886139376437,0.14791311376449573,-0.03668477128092368,1.0,0.0
2023-12-21,217944.9062257274,0.001409874079363993,0.09559318320960832,0.14788767813636458,-0.03532661810969607,1.0,0.0
2023-12-22,217134.91231078043,-0.0037165076668873587,0.09755779877566652,0.14824395166869905,-0.038911834129533585,1.0,0.0
2023-12-26,217035.85029975238,-0.0004562233220527512,0.09744729375206446,0.148239960486125,-0.0393503049653526,1.0,0.0
2023-12-27,217985.36142100807,0.0043749045143661736,0.09735080865701164,0.14840439233090663,-0.035147554277821,1.0,0.0
2023-12-28,217544.76533157408,-0.0020212187027689454,0.09834045662531424,0.1485463644523454,-0.03709773208652705,1.0,0.0
2023-12-29,217653.4034116123,0.0004993826437176274,0.09794547532492177,0.14843964490972789,-0.036616875406334695,1.0,0.0
2024-01-02,213623.15079721442,-0.018516837096161143,0.12074897039372294,0.1542339202441946,-0.05445568378562634,1.0,1.4530999478354443
2024-01-03,210520.92814079052,-0.014521940364828456,0.13281264261075432,0.1572323234033173,-0.06818682195799394,1.0,0.0
2024-01-04,210152.92828192026,-0.0017480440644084272,0.13210918465128246,0.1571671704411293,-0.06981567245300781,1.0,0.0
